source,target
6295123712,6295123712
6301374980,6903360382
6295125337,6295125337
6301374980,6864618874
6210600782,6361732656
6575199467,6301374980
6301374980,6607954841
6298176720,6298176720
6207785146,6207785146
6304838562,6302958361
6317748519,6317748519
6401080494,5722293131
6202609729,6202609729
6301374980,3956597552
5746137872,5746137872
6301374980,5746137872
6204144648,6204144648
6301374980,6333572927
6575199467,6333572927
6607954841,6333572927
6025427179,6333572927
6298176720,6333572927
6207785146,6333572927
5224587509,6333572927
6330062052,6333572927
6301787801,6333572927
6302958361,6333572927
6317748519,6333572927
6021310372,6333572927
5722293131,6333572927
6202609729,6333572927
6353324250,6333572927
6587285607,6333572927
3956597552,6333572927
1256552720,6333572927
2993154197,6333572927
6295060757,6333572927
6202774857,6333572927
6304163599,6304163599
1452727202,6304630149
6304630149,6304630149
6202610836,6202610836
6562735613,5307763735
3942917446,6562735613
6497039686,6497039686
6409875758,6017294912
5693785937,5693785937
5818928760,6824461809
6409875758,5818928760
6667121972,6824461809
2070566713,5777377687
5777377687,5777377687
6029537612,6029537612
2070566713,3108594815
1830637067,1830637067
3965382846,3965382846
2070566713,2693995105
5043928492,3069648553
2070566713,3970969905
2070566713,3060135323
2070566713,3987577071
6029739475,6299245851
6302026556,6029458102
6029458102,6029458102
1420702335,6029458102
6352493312,6029458102
5722348147,6029458102
3863349958,6029458102
3122509803,6029458102
6000160955,6029458102
6304217165,6029458102
3064009733,6029458102
6301406034,6029458102
6225345165,6029458102
6097275216,6029458102
6137887026,6029458102
7076524334,6029458102
6077533501,6029458102
6164769657,6029458102
6084099967,6029458102
6074854019,6029458102
6148292331,6029458102
6065292158,6029458102
6084327114,6029458102
6026929132,6026929132
6029739475,2884377617
6029739475,6035167977
6212735875,6026985622
6029739475,6026985622
6026985622,6026985622
6029739475,5969864765
6029739475,6005828101
5943802914,5943802914
6029739475,2834686591
6029739475,6365739417
6302958121,6302958121
2886689731,2886689731
6301175996,6301175996
6202599612,6202599612
6029739475,6203491543
2823322351,6203491543
2834686591,6203491543
6366334209,6203491543
6363396997,6203491543
6365739417,6203491543
6302958121,6203491543
2886689731,6203491543
5746491482,6203491543
6301175996,6203491543
6340793499,6203491543
6202599612,6203491543
6212735875,6203491543
6203491543,6203491543
1805222061,6203491543
5716733904,6203491543
6375704611,6203491543
6376771647,6203491543
5719502155,6203491543
6304246495,6203491543
5716610338,6203491543
6029739475,5716733904
6375704611,6375704611
6005140573,6300582901
6300582901,6300582901
5974793369,6380153474
6375663120,6380150987
6380150987,6380150987
6029739475,6203238384
2823322351,6203238384
2834686591,6203238384
6366334209,6203238384
6363396997,6203238384
6365739417,6203238384
6302958121,6203238384
2886689731,6203238384
5746491482,6203238384
6301175996,6203238384
6340793499,6203238384
6202599612,6203238384
6212735875,6203238384
6203491543,6203238384
1805222061,6203238384
5716733904,6203238384
6375704611,6203238384
6376771647,6203238384
5719502155,6203238384
6304246495,6203238384
5716610338,6203238384
2087978771,2087978771
5964090671,5964090671
5950052572,5950052572
6019792169,6019792169
5991599712,5991599712
